kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
土,THỔ,Đất,"soil, earth, ground, Turkey",N5,ド、ト,つち,3,⼟,つち,earth,Cắm cây thập (十) xuống 1 (一) mảnh đất (土),3,千,上
八,BÁT,Tám,"eight, eight radical (no. 12)",N5,ハチ,や、よう、やっつ,2,⼋,はち,eight,Chân đi chữ bát (八),3,二,六
十,THẬP,Mười,ten,N5,ジュウ,とお、と,2,⼗,じゅう,ten,Gạch ngang (一) gạch dọc (丨) ra số 10 (十),5,手,千
二,NHỊ,Hai,"two, two radical (no. 7)",N5,ニ,ふた、ふたつ、ふたり,2,⼆,に,two,2 (二) bước sang ngang,5,一,八
一,NHẤT,Một,"one, one radical (no.1)",N5,イチ,ひと,1,⼀,いち,"one, horizontal stroke",1 (一) bước sang ngang,13,,二
目,MỤC,Mắt,"eye, class, look, insight, experience, care, favor",N5,モク,め、ま,5,⽬,め,eye,Chớp mắt (目) hết một (一) ngày (日),5,日,三
手,THỦ,Cái tay,hand,N5,シュ、ズ,て、た,4,⼿,て,hand,3 (三) thể hiện quyết (亅) tâm bằng tay (手),13,三,十
六,LỤC,Sáu,six,N5,ロク,む、むい、むっつ,4,⼋,はち,eight,Đầu (亠) năm phát (八 - Bát đọc lái thành Phát) Lộc (六 - Lục đọc lái thành Lộc),3,八,日
三,TAM,Ba,three,N5,サン,み、みっか、みっつ,3,⼀,いち,"one, horizontal stroke",3 (三) bước sang ngang,3,目,手
日,NHẬT,Ngày (mặt trời),"day, sun, Japan, counter for days",N5,ニチ、ジツ,ひ、か,4,⽇,ひ,"sun, day, time","Mặt trời giống Hình Chữ Nhật (ロ), bị chia làm đôi (一), nửa trên là Ngày (日), nửa dưới là đêm",35,六,目
千,THIÊN,Một nghìn,thousand,N5,セン,ち,3,⼗,じゅう,ten,Phẩy sang trái (丿) 1 nét trên đầu số 10 (十) mà nó đã thành 1000 (千),2,十,土
下,HẠ,Dưới,"bên dưới, xuống, hạ xuống, cho, thấp, kém cỏi",N5,カ、ゲ,した、しも、さ、さがる、さげる、くだ、くだる、ください、お、おろす、おりる,3,⼀,いち,"one, horizontal stroke",1 (一) lần coi bói (卜) là hạ (下) mình,11,上,万
西,TÂY,Phía tây,"west, Spain",N5,セイ、サイ,にし,6,⻃,にし,"cover, west",1 (一) cái miệng (口) đi chơi xa (儿) tận trời Tây (西) là hư hỏng,3,四,七
七,THẤT,Bảy,seven,N5,シチ,なな、なの、ななつ,2,⼀,いち,"one, horizontal stroke",Giống số 7 ngược,3,西,北
